title,year,source,selection_criteria,status,comments
Configuring Spaces and Surfaces to Support Collaborative Interactions,2003,Springer Link,Articles that omits the tabletop technique,Rejected,
Citywide: Supporting Interactive Digital Experiences Across Physical Space,2002,Springer Link,Articles that omits the tabletop technique,Rejected,
Using Horizontal Displays for Distributed and Collocated Agile Planning,2007,Springer Link,Articles that omits the tabletop technique,Rejected,
From Clicks to Touches: Enabling Face-to-Face Shared Social Interface on Multi-touch Tabletops,2007,Springer Link,Articles that omits the tabletop technique,Rejected,
Paper Metaphor for Tabletop Interaction Design,2007,Springer Link,Articles that omits the tabletop technique,Rejected,
Doing Community: Co-construction of Meaning and Use with Interactive Information Kiosks,2006,Springer Link,Articles that omits the tabletop technique,Rejected,
Interface Currents: Supporting Fluent Collaboration on Tabletop Displays,2005,Springer Link,Articles that omits the tabletop technique,Rejected,
APDT: An Agile Planning Tool for Digital Tabletops,2008,Springer Link,Articles that omits the tabletop technique,Rejected,
From Desktop to Tabletop: Migrating the User Interface of AgilePlanner,2008,Springer Link,Articles that omits the tabletop technique,Rejected,
A Tangible Tabletop Game Supporting Therapy of Children with Cerebral Palsy,2008,Springer Link,Articles that omits the tabletop technique,Rejected,
Augmented Collaborative Card-Based Creative Activity with Digital Pens,2009,Springer Link,Articles that omits the tabletop technique,Rejected,
Creation and Collaboration: Engaging New Audiences for Information Visualization,2008,Springer Link,Articles that omits the tabletop technique,Rejected,
Creating ambient music spaces in real and virtual worlds,2009,Springer Link,Articles that omits the tabletop technique,Rejected,
Collaborative Tabletop Research and Evaluation: Interfaces and Interactions for Direct-Touch Horizontal Surfaces,2008,Springer Link,Articles that omits the tabletop technique,Rejected,
Rapidly Prototyping Marker Based Tangible User Interfaces,2009,Springer Link,Articles that omits the tabletop technique,Rejected,
Design of Systems for Supporting Collaborative Learning Augmented with Physical Artefacts,2008,Springer Link,Articles that omits the tabletop technique,Rejected,
Interactive Displays and Next-Generation Interfaces,2010,Springer Link,Articles that omits the tabletop technique,Rejected,
Supporting Atomic User Actions on the Table,2010,Springer Link,Articles that omits the tabletop technique,Rejected,
Using Heuristics to Evaluate the Overall User Experience of Video Games and Advanced Interaction Games,2009,Springer Link,Articles that omits the tabletop technique,Rejected,
Theory of Tabletop Territoriality,2010,Springer Link,Articles that omits the tabletop technique,Rejected,
Hidden Markov Models Implementation for Tangible Interfaces,2009,Springer Link,Articles that omits the tabletop technique,Rejected,
High-Resolution Interactive Displays,2010,Springer Link,Articles that omits the tabletop technique,Rejected,É um estudo sobre diferentes formas de alcançar display de alta resolução para tabletops na época.
Optical Design of Tabletop Displays and Interactive Applications,2010,Springer Link,Articles that omits the tabletop technique,Rejected,
Tangible Interaction in Mixed Reality Systems,2009,Springer Link,Articles that omits the tabletop technique,Rejected,
uPlatform: A Customizable Multi-user Windowing System for Interactive Tabletop,2011,Springer Link,Articles that omits the tabletop technique,Rejected,
User Perceptions of Adaptivity in an Interactive Narrative,2011,Springer Link,Articles that omits the tabletop technique,Rejected,
"Tabletop Games: Platforms, Experimental Games and Design Recommendations",2010,Springer Link,Articles that omits the tabletop technique,Rejected,
Horizontal Interactive Surfaces in Distributed Assemblies,2010,Springer Link,Articles that omits the tabletop technique,Rejected,
Natural Human–Computer Interaction,2010,Springer Link,Articles that omits the tabletop technique,Rejected,
Coordination and Awareness in Remote Tabletop Collaboration,2010,Springer Link,Articles that omits the tabletop technique,Rejected,
"Introduction: A Short History of Tabletop Research, Technologies, and Products",2010,Springer Link,Articles that omits the tabletop technique,Rejected,
Digital Tables for Collaborative Information Exploration,2010,Springer Link,Articles that omits the tabletop technique,Rejected,
Modelling Symmetry of Activity as an Indicator of Collocated Group Collaboration,2011,Springer Link,Articles that omits the tabletop technique,Rejected,
"Tablexcel: A Multi-user, Multi-touch Interactive Tabletop Interface for Microsoft Excel Spreadsheets",2011,Springer Link,Articles that omits the tabletop technique,Rejected,
Hidden Details of Negotiation: The Mechanics of Reality-Based Collaboration in Information Seeking,2011,Springer Link,Articles that omits the tabletop technique,Rejected,
The Understanding of Meaningful Events in Gesture-Based Interaction,2011,Springer Link,Articles that omits the tabletop technique,Rejected,
Facilitating Knowledge Transfer in IANES - A Transactive Memory Approach,2013,Springer Link,Articles that omits the tabletop technique,Rejected,
Designing with and for Older Adults: Experience from Game Design,2012,Springer Link,Articles that omits the tabletop technique,Rejected,
Shared Interfaces for Co-located Interaction,2012,Springer Link,Articles that omits the tabletop technique,Rejected,
Creating Metaphors for Tangible User Interfaces in Collaborative Urban Planning: Questions for Designers and Developers,2012,Springer Link,Articles that omits the tabletop technique,Rejected,
Introduction,2012,Springer Link,Articles that omits the tabletop technique,Rejected,
"A Framework Interweaving Tangible Objects, Surfaces and Spaces",2011,Springer Link,Articles that omits the tabletop technique,Rejected,
The Continuous Interaction Space: Interaction Techniques Unifying Touch and Gesture on and above a Digital Surface,2011,Springer Link,Articles that omits the tabletop technique,Rejected,
Interactive tabletops in education,2011,Springer Link,Articles that omits the tabletop technique,Rejected,
Collaborating around the tabletop,2011,Springer Link,Articles that omits the tabletop technique,Rejected,
HDCMD: A Clustering Algorithm to Support Hand Detection on Multitouch Displays,2013,Springer Link,Articles that omits the tabletop technique,Rejected,
The Ambience Table: A Serious Gaming Interface for Aiding Sound Design,2013,Springer Link,Articles that omits the tabletop technique,Rejected,
"Acting, Playing, or Talking about the Story: An Annotation Scheme for Communication during Interactive Digital Storytelling",2013,Springer Link,Articles that omits the tabletop technique,Rejected,
Authoring Support for Post-WIMP Applications,2013,Springer Link,Articles that omits the tabletop technique,Rejected,
"Keeping “InTOUCH”: An Ongoing Co-design Project to Share Memories, Skills and Demands through an Interactive Table",2013,Springer Link,Articles that omits the tabletop technique,Rejected,
Realtime Pointing Gesture Recognition and Applications in Multi-user Interaction,2013,Springer Link,Articles that omits the tabletop technique,Rejected,
Interacting with Surface Technologies,2013,Springer Link,Articles that omits the tabletop technique,Rejected,
EMIL: A Rapid Prototyping Authoring Environment for the Design of Interactive Surface Applications,2013,Springer Link,Articles that omits the tabletop technique,Rejected,
Video Analysis for Evaluating Music Interaction: Musical Tabletops,2013,Springer Link,Articles that omits the tabletop technique,Rejected,
Designing a Museum Multi-touch Table for Children,2012,Springer Link,Articles that omits the tabletop technique,Rejected,
Designing Co-located Tabletop Interaction for Rehabilitation of Brain Injury,2013,Springer Link,Articles that omits the tabletop technique,Rejected,
The ToyVision Toolkit for Tangible Games,2013,Springer Link,Articles that omits the tabletop technique,Rejected,
ScriptStorm: scripting to enhance tabletop brainstorming,2013,Springer Link,Articles that omits the tabletop technique,Rejected,"Não fala sobre como o input é pego, só fala que usa depth pra linkar o input com o usuário. Também não fala como o display é feito"
Human Sensing for Tabletop Entertainment System,2014,Springer Link,Articles that omits the tabletop technique,Rejected,"Da muitos detalhes sobre as outras questões, mas não tem informação suficiente sobre o display, o que poderia impactar na conclusão final"
Individual and Collaborative Personalization in a Science Museum,2014,Springer Link,Articles that omits the tabletop technique,Rejected,
"Dialogue, Knowledge Work and Tabletops: Lessons from Preservice Teacher Education",2014,Springer Link,Articles that omits the tabletop technique,Rejected,
Tabletop Computer Game Mechanics for Group Rehabilitation of Individuals with Brain Injury,2014,Springer Link,Articles that omits the tabletop technique,Rejected,
Blended Interaction: understanding natural human–computer interaction in post-WIMP interactive spaces,2013,Springer Link,Articles that omits the tabletop technique,Rejected,
Involving Children in Design Activities Using the ChiCo Exploratory Co-design Technique,2015,Springer Link,Articles that omits the tabletop technique,Rejected,
A Process Model for Crowdsourcing Design: A Case Study in Citizen Science,2015,Springer Link,Articles that omits the tabletop technique,Rejected,
A Tangible Collaborative Decision Support System for Various Variants of the Vehicle Routing Problem,2015,Springer Link,Articles that omits the tabletop technique,Rejected,
Usability perception of different video game devices in elderly users,2015,Springer Link,Articles that omits the tabletop technique,Rejected,
E-CORE (Embodied COgnitive REhabilitation): A Cognitive Rehabilitation System Using Tangible Tabletop Interface,2013,Springer Link,Articles that omits the tabletop technique,Rejected,
Separation of Concerns in Model Elicitation – Role-Based Actor-Driven Business Process Modeling,2014,Springer Link,Articles that omits the tabletop technique,Rejected,
Assessment of Collaborative Problem Solving Using Linear Equations on a Tangible Tabletop,2014,Springer Link,Articles that omits the tabletop technique,Rejected,
A Research Overview of Mobile Projected User Interfaces,2014,Springer Link,Articles that omits the tabletop technique,Rejected,
Gesture analysis in a case study with a tangible user interface for collaborative problem solving,2014,Springer Link,Articles that omits the tabletop technique,Rejected,
Research Activities and Developments Behind the EDC,2016,Springer Link,Articles that omits the tabletop technique,Rejected,
Towards Concurrent Multi-Tasking in Shareable Interfaces,2015,Springer Link,Articles that omits the tabletop technique,Rejected,
Tomb of Osiris: Gamifying the Assessment of Collaborative Complex Problem Solving Skills on Tangible Tabletops,2015,Springer Link,Articles that omits the tabletop technique,Rejected,
Lowering the threshold and raising the ceiling of tangible expressiveness in hybrid board-games,2014,Springer Link,Articles that omits the tabletop technique,Rejected,
Collaborative Business Process Modeling in Multi-surface Environments,2016,Springer Link,Articles that omits the tabletop technique,Rejected,
Interactive Digital Cardwalls for Agile Software Development,2016,Springer Link,Articles that omits the tabletop technique,Rejected,
Interactive Exploration of Three-Dimensional Scientific Visualizations on Large Display Surfaces,2016,Springer Link,Articles that omits the tabletop technique,Rejected,
Case Study Analysis on Collaborative Problem Solving Using a Tangible Interface,2017,Springer Link,Articles that omits the tabletop technique,Rejected,
Technologies for the Design Review Process,2018,Springer Link,Articles that omits the tabletop technique,Rejected,
Peacemaking Affordances of Shareable Interfaces: A Provocative Essay on Using Technology for Social Change,2017,Springer Link,Articles that omits the tabletop technique,Rejected,
Fostering targeted group practices as a Core focus for CSCL task and technology design,2017,Springer Link,Articles that omits the tabletop technique,Rejected,
A framework for the descriptive specification of awareness support in multimodal user interfaces for collaborative activities,2017,Springer Link,Articles that omits the tabletop technique,Rejected,
Comparative Study of Tangible Tabletop and Computer-Based Training Interfaces for Cognitive Rehabilitation,2016,Springer Link,Articles that omits the tabletop technique,Rejected,
Towards Designing Tangible Interaction for Children with Dyslexia in Learning the Malay Language,2018,Springer Link,Articles that omits the tabletop technique,Rejected,
Using Innovative Technologies as Therapeutic and Educational Tools for Children with Autism Spectrum Disorder,2019,Springer Link,Articles that omits the tabletop technique,Rejected,
A model of gameful design for learning using interactive tabletops: enactment and evaluation in the socio-emotional education classroom,2018,Springer Link,Articles that omits the tabletop technique,Rejected,
Assessment of Collaboration and Feedback on Gesture Performance,2019,Springer Link,Articles that omits the tabletop technique,Rejected,
Enhancing Communication and Awareness in Asymmetric Games,2019,Springer Link,Articles that omits the tabletop technique,Rejected,
Highlighting tools and technologies for collaborative learning,2019,Springer Link,Articles that omits the tabletop technique,Rejected,
Putting the Framework to Operation: Enabling Organizational Development Through Learning,2019,Springer Link,Articles that omits the tabletop technique,Rejected,
The Role of Gesture in Social Telepresence Robots—A Scenario of Distant Collaborative Problem-Solving,2019,Springer Link,Articles that omits the tabletop technique,Rejected,
A Systematic Review on Digital Technology for Enhancing User Experience in Museums,2018,Springer Link,Articles that omits the tabletop technique,Rejected,
Many are the ways to learn identifying multi-modal behavioral profiles of collaborative learning in constructivist activities,2021,Springer Link,Articles that omits the tabletop technique,Rejected,
A Participative Framework Covering Urban Planning Process with A Parametric Approach,2020,Springer Link,Articles that omits the tabletop technique,Rejected,
Intergenerational Playful Experiences Based on Digital Games for Interactive Spaces,2021,Springer Link,Articles that omits the tabletop technique,Rejected,
Occupational Therapy Interventions Using New Technologies in Children and Adolescents with Autism Spectrum Disorder: A Scoping Review,2022,Springer Link,Articles that omits the tabletop technique,Rejected,
Reading Aloud in Human-Computer Interaction: How Spatial Distribution of Digital Text Units at an Interactive Tabletop Contributes to the Participants’ Shared Understanding,2020,Springer Link,Articles that omits the tabletop technique,Rejected,
Zooming in Time—Exploring Students’ Interpretations of a Dynamic Tree of Life,2020,Springer Link,Articles that omits the tabletop technique,Rejected,
Tangible Objects and Mobile Technology: Interactive Learning Environments for Students with Learning Disabilities,2019,Springer Link,Articles that omits the tabletop technique,Rejected,
Resolving display shape dependence issues on tabletops,2018,Springer Link,Articles that omits the tabletop technique,Rejected,
Including Non-autistic Peers in Games Designed for Autistic Socialization,2024,Springer Link,Articles that omits the tabletop technique,Rejected,
Evaluation of teachers’ orchestration tools usage in robotic classrooms,2023,Springer Link,Articles that omits the tabletop technique,Rejected,
Collaborative Environments for Augmented and Virtual Reality Applications,2022,Springer Link,Articles that omits the tabletop technique,Rejected,
Motivational and Behavioral Differences Between Traditional and Digital Tabletop Games,2021,Springer Link,Articles that omits the tabletop technique,Rejected,
Exploring multilayered collaboration designs,2021,Springer Link,Articles that omits the tabletop technique,Rejected,
Toward tangibles and display-rich interfaces for co-located and distributed genomics collaborations,2020,Springer Link,Articles that omits the tabletop technique,Rejected,
A Framework for Designing Tabletop Games in Group-Based Motor Rehabilitation,2023,Springer Link,Articles that omits the tabletop technique,Rejected,
A Multidimensional Taxonomy Model for Music Tangible User Interfaces,2024,Springer Link,Articles that omits the tabletop technique,Rejected,
Navigating Failure in a Museum-Based Videogame: Convergent and Divergent Mechanisms of Collaboration as Potential Levers for Informal Learning About Climate Change,2024,Springer Link,Articles that omits the tabletop technique,Rejected,
Interactive Spatial Audio Diffusion: The Pendulum Haptic Interface Prototype,2024,Springer Link,Articles that omits the tabletop technique,Rejected,
Special Issue: Advanced human–computer interfaces for promoting inclusive communication and social interaction,2023,Springer Link,Articles that omits the tabletop technique,Rejected,
Tangible interfaces in early years’ education: a systematic review,2021,Springer Link,Articles that omits the tabletop technique,Rejected,
"Sketched menus and iconic gestures, techniques designed in the context of shareable interfaces",2010,Scopus,Articles that omits the tabletop technique,Rejected,
I-Grabber: Expanding physical reach in a large-display tabletop environment through the use of a virtual grabber,2009,Scopus,Articles that omits the tabletop technique,Rejected,
Architales: Physical/digital co-design of an interactive story table,2009,Scopus,Articles that omits the tabletop technique,Rejected,
VDesktop: Event management and physically based behaviour in tabletop displays,2008,Scopus,Articles that omits the tabletop technique,Rejected,
"Beyond ""social protocols"": Multi-user coordination policies for co-located groupware",2004,Scopus,Articles that omits the tabletop technique,Rejected,
The challenge of interaction assignment on large digital tabletop displays for learning analytics,2020,Scopus,Articles that omits the tabletop technique,Rejected,
Counting on your fingertips - An exploration and analysis of actions in the rich touch space,2011,Scopus,Articles that omits the tabletop technique,Rejected,"Analisa como pessoas interagem com objetos físicos em uma mesa, pra definir como o input via touch deve ser em tabletops digitais"
Students' perceptions of learning processes as co-authors of digital tabletop activities,2017,Scopus,Articles that omits the tabletop technique,Rejected,
Slowing down interactions on tangible tabletop interfaces: A comparative user study in the context of collaborative problem solving,2018,Scopus,Articles that omits the tabletop technique,Rejected,
Sketching music together: Mixed groups exploring melodic similarity and contrast using a digital tabletop,2021,Scopus,Articles that omits the tabletop technique,Rejected,
Analyzing users' performance interacting with a digitized traditional game on multi-touch display using fitts's law,2018,Scopus,Articles that omits the tabletop technique,Rejected,
Human Factors Engineering in Interactive Urban Planning Decision Support Systems,2014,Scopus,Articles that omits the tabletop technique,Rejected,
Light on horizontal interactive surfaces: Input space for tabletop computing,2014,Scopus,Articles that omits the tabletop technique,Rejected,
Sketching music: Exploring melodic similarity and contrast using a digital tabletop,2020,Scopus,Articles that omits the tabletop technique,Rejected,
1.24 - Augmented Reality and GIS,2018,Science@Direct,Articles that omits the tabletop technique,Rejected,
Tangible tabletops and dual reality for crisis management: case study with mobile robots and dynamic tangible objects,2019,Science@Direct,Articles that omits the tabletop technique,Rejected,
Where the attention is: Discovery learning in novel tangible environments,2011,Science@Direct,Articles that omits the tabletop technique,Rejected,
Applications of Multi-touch Augmented Reality System in Education and Presentation of Virtual Heritage,2013,Science@Direct,Articles that omits the tabletop technique,Rejected,
Effect of elastic touchscreen and input devices with different softness on user task performance and subjective satisfaction,2015,Science@Direct,Articles that omits the tabletop technique,Rejected,
Designing for a socioenactive experience: A case study in an educational workshop on deep time,2021,Science@Direct,Articles that omits the tabletop technique,Rejected,
"Impact of different interaction protocols on group communication, satisfaction and learning outcomes of primary school children when using multitouch tabletops",2020,Science@Direct,Articles that omits the tabletop technique,Rejected,
Digital card games in education: A ten year systematic review,2017,Science@Direct,Articles that omits the tabletop technique,Rejected,
"Developing, evaluating and deploying multi-touch systems",2012,Science@Direct,Articles that omits the tabletop technique,Rejected,
Designing peer-to-peer distributed user interfaces: Case studies on building distributed applications,2014,Science@Direct,Articles that omits the tabletop technique,Rejected,
Multitouch Tabletop Technology for People with Autism Spectrum Disorder: A Review of the Literature,2012,Science@Direct,Articles that omits the tabletop technique,Rejected,
TSCL: A conceptual model to inform understanding of collaborative learning processes at interactive tabletops,2015,Science@Direct,Articles that omits the tabletop technique,Rejected,
Towards a Collaborative Geographical Information System to Support Collective Decision Making for Urban Logistics Initiative,2016,Science@Direct,Articles that omits the tabletop technique,Rejected,
Tangible User Interfaces: Technology You Can Touch,2012,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
Accessible interfaces for robot assistants,2014,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
Heuristics for the Development and Evaluation of Educational Robotics Systems,2019,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
Paper-digital meeting support and review,2010,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
Game Development for the Elderly: Experiences from Usability Tests in the Wild,2021,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
GAMES AND SIMULATIONS IN INDUSTRIAL ENGINEERING EDUCATION: A REVIEW OF THE COGNITIVE AND AFFECTIVE LEARNING OUTCOMES,2018,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
Collaborative visualization of simulated processes using tabletop fiducial augmented reality,2011,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
Treasure hunt pervasive games in cultural organisations,2015,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
Literature review on wearable systems in upper extremity rehabilitation,2014,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
"Contextual design considerations for co-located, collaborative tables",2008,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
Towards collaborative block-based programming on digital tabletops,2017,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
Evaluation of a distributed collaborative workspace as a creativity tool in the context of design education,2014,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
Digital tabletops for situational awareness in emergency situations,2011,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
Building Your Own Tangible Virtual World: A Design of an RFID-Based Tabletop Game Platform,2010,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,"Descreve um hardware de input, não menciona display"
"Ubiquitous Analytics: Interacting with Big Data Anywhere, Anytime",2013,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
A pattern-based approach to activity design in creative work supported by surface computing,2015,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
CoASD: A tabletop game to support the collaborative work of users with autism spectrum disorder,2018,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
Rotation and translation mechanisms for tabletop interaction,2006,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
Tabletop Collaboration through Tangible Interactions,2007,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,Não fica claro como ele pega o input do usuário
Improved Background Removal through Polarisation in Vision-Based Tabletop Interface,2007,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
A Novel Tangible Interaction Authoring Tool for Creating Educational Activities: Analysis of Its Acceptance by Educators,2023,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
TurTan: A tangible programming language for creative exploration,2008,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
Guest Editors' Introduction: Interacting with Digital Tabletops,2006,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
Advances in Tangible Interaction and Ubiquitous Virtual Reality,2008,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
An Analytic Process Schema for Collaborative Multi-Touch Applications,2011,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
Moving Tangible Interaction Systems to the Next Level,2013,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
A new interactively experience based on multi-touch technology,2010,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
Modeling the perception of user performance,2014,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Co-creating games through intergenerational design workshops,2012,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
The department of hidden stories: Playful digital storytelling for children in a public library,2014,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Slant menu: novel GUI widget with ergonomic design,2012,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Teaching social competence: in search of design patterns,2010,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Reflective design documentation,2012,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
SonicExplorer: fluid exploration of audio parameters,2014,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Studying Teacher Cognitive Load in Multi-tabletop Classrooms Using Mobile Eye-tracking,2014,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Demo hour,2011,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
"Collect and map it all: the artifact map, a tool for complex context analysis",2012,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Extending shared hypermedia workspaces to face-to-face multitouch experiences,2014,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Investigating multi-user interactions on interactive media fa\c{c}ades,2014,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Design patterns for mixed-method research in HCI,2014,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Unpacking “Boardgames with Apps”: The Hybrid Digital Boardgame Model,2021,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Met\'{a}foras de Perspectivas Culturais na (re) defini\c{c}\~{a}o de padr\~{o}es de colabora\c{c}\~{a}o de um jogo de multi-toque para usu\'{a}rios com autismo,2013,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
The distributed dungeon master: new media affordances from twitch's choice chamber,2019,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Between theory and practice: bridging concepts in HCI research,2014,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
TipTapTrays: co-creating music through rhythm to avoid boredom while queuing in cafeterias,2014,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Breaking the Sound Barrier: Designing for Patient Participation in Audiological Consultations,2016,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
NatureNet: a model for crowdsourcing the design of citizen science systems,2014,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Multi Surface Interactions with Geospatial Data: A Systematic Review,2014,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Interface currents: supporting fluent face-to-face collaboration,2005,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Modeling on the table: agent-based modeling in elementary school with NetTango,2011,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
HATs: interact using height-adjustable tangibles in tabletop interfaces,2011,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Towards an integrated methodological framework for understanding embodiment in HCI,2014,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Culturally based design: embodying trans-surface interaction in rummy,2012,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Core functionality and new applications for tabletops and interactive surfaces,2011,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
A Case Study on the Rapid Development of Natural and Synergistic Multimodal Interfaces for XR Use-Cases,2022,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Bringing everyday applications to interactive surfaces,2010,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Observing Hand Placement and Measurement on a Tabletop Using a Depth Camera,2015,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Evaluating an automatic rotation feature in collaborative tabletop workspaces,2011,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Low-fidelity prototyping of gesture-based applications,2011,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
DIY design process for interactive surfaces,2009,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Poker surface: combining a multi-touch table and mobile phones in interactive card games,2009,ACM Digital Library,Articles that omits the tabletop technique,Rejected,Só fala que é multi-touch
Joint Action Storyboards: A Framework for Visualizing Communication Grounding Costs,2021,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
From big data to insights: opportunities and challenges for TEI in genomics,2013,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Improving social presence in human-agent interaction,2014,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Comparing user interaction with low and high fidelity prototypes of tabletop surfaces,2010,ACM Digital Library,Articles that omits the tabletop technique,Rejected,Ele não especifica como o display e o input funcionam
What are visitors up to? helping museum facilitators know what visitors are doing,2017,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Toward game orchestration: tangible manipulation of in-game experiences,2012,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Adapting existing applications to support new interaction technologies: technical and usability issues,2010,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Hand gestures during collaborative problem solving,2016,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Co-designing interactive tabletop solutions for active patient involvement in audiological consultations,2014,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Videogame-based case studies for improving communication and attention in children with ASD,2018,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
A hierarchical approach to continuous gesture analysis for natural multi-modal interaction,2012,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Tool support for testing complex multi-touch gestures,2010,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
"CRISTAL, control of remotely interfaced systems using touch-based actions in living spaces",2009,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Integrating 2D mouse emulation with 3D manipulation for visualizations on a multi-touch table,2010,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Multitouch NetLogo for Museum Interactive Game,2018,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Lumino: tangible blocks for tabletop computers based on glass fiber bundles,2010,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
A Cooperative Multitouch Scrum Task Board for Synchronous Face-to-Face Collaboration,2014,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Towards a teacher-centric approach for multi-touch surfaces in classrooms,2010,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
The role of tangible technologies for special education,2010,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Hand occlusion on a multi-touch tabletop,2012,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Using teamwork and taskwork to study mixed-focus collaboration,2012,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Musical Drawing in 2D and 3D: Dimensions and Perspectives,2024,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
FLATIR: FTIR multi-touch detection on a discrete distributed sensor array,2009,ACM Digital Library,Articles that omits the tabletop technique,Rejected,"Descreve uma técnica de input pra tabletop, não chega a implementar em uma tabletop"
Performance and Ergonomics of Touch Surfaces: A Comparative Study using Biomechanical Simulation,2015,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Mechanisms for collaboration: A design and evaluation framework for multi-user interfaces,2012,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Investigating Communication Grounding in Cross-Surface Interaction,2017,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Social Telepresence Robots: The role of gesture for collaboration over a distance,2018,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Scalable interaction design for collaborative visual exploration of big data,2012,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Tabletop Games in the Age of Remote Collaboration: Design Opportunities for a Socially Connected Game Experience,2021,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
PPCards: Toward Enhancing Electronic Prototyping with Editions of a Card-based Platform,2021,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
