article,Ano,Tecnologia do display,Tecnologia do input,Tipo de interação,Suporte à colaboração,Usa modelo com nome?,Tamanho da mesa
Touchers and mousers: commonalities and differences in co-located collaboration with multiple input devices,2008,Embutido,Sensor infravermelho,Touch,Colaboração presencial,[braccetto] research platform,46’’
Investigating Temporal-Spatial Characteristics of Mouse and Touch Input,2009,Embutido,Sensor infravermelho,Touch,Colaboração presencial,[braccetto] research platform,46’’
Hxi: research down under in distributed intense collaboration between teams,2008,Embutido,Sensor infravermelho,Touch,Colaboração presencial,[braccetto] research platform,46’’
Exploratory study on concurrent interaction in co-located collaboration,2007,Embutido,Sensor infravermelho,Touch,Colaboração presencial,[braccetto] research platform,46’’
Interacting with mouse and touch devices on horizontal interactive displays,2012,Embutido,Sensor infravermelho,Touch,Colaboração presencial,[braccetto] research platform,46’’
Sea of Genes: A Reflection on Visualising Metagenomic Data for Museums,2020,Embutido,Toque,"Multi-touch, Touch",Colaboração presencial,3M 65” touch-table,"65"""
Engaging families around museum exhibits: Comparing tangible and multi-touch interfaces,2020,Embutido,Toque,"Multi-touch, Touch",Colaboração presencial,3M™ Multi-Touch Display,46’’
BacPack for New Frontiers: A Tangible Tabletop Museum Exhibit Exploring Synthetic Biology,2016,Embutido,"Sensor infravermelho, Tokens tangíveis","Multi-touch, Tangibility",Colaboração presencial,55” Multitaction Cell,55”
BacPack: Exploring the Role of Tangibles in a Museum Exhibit for Bio-Design,2017,Embutido,"Sensor infravermelho, Tokens tangíveis","Multi-touch, Tangibility",Colaboração presencial,55” MultiTaction Cell,55”
Shared Design Space: Sketching Ideas Using Digital Pens and a Large Augmented Tabletop Setup,2006,Projetor superior,"Caneta, Sensor infravermelho",Tangibility,Colaboração presencial,Anoto pens,
TMAR: Extension of a Tabletop Interface Using Mobile Augmented Reality,2008,Projetor inferior,"Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,ARTable,
Hyperinteractive Evolutionary Computation,2011,Embutido,Toque,"Multi-touch, Touch",Colaboração presencial,Asus Eee Top,
A Tabletop Interface Using Controllable Transparency Glass for Collaborative Card-Based Creative Activity,2008,Projetor inferior,"Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,AwareTable,
Understanding flicking on curved surfaces,2012,Projetor inferior,Sensor infravermelho,"Multi-touch, Touch",Usuário único,BendDesk,42”
Enabling interaction with single user applications through speech and gestures on a multi-user tabletop,2005,Projetor superior,"Ondas sonoras, Toque","Gesture, Multi-touch, Speech, Touch",Colaboração presencial,Diamond Touch + Gesture + Speech,42”
Exploring true multi-user multimodal interaction over a digital table,2008,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Development of Communication Support System at Mealtimes Using Tabletop Interface,2013,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Dimensions of collaboration on a tabletop interface for children with autism spectrum disorder,2011,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Analysis of natural gestures for controlling robot teams on multi-touch tabletop surfaces,2009,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Tabletop sharing of digital photographs for the elderly,2006,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Collaboration and interference: awareness with mice or touch input,2008,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Arrange-A-Space: tabletop interfaces and gender collaboration,2011,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Co-narrating a conflict: An interactive tabletop to facilitate attitudinal shifts,2012,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Table-centric interactive spaces for real-time collaboration,2006,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Supporting air traffic control collaboration with a TableTop system,2011,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
"Shallow-depth 3d interaction: design and evaluation of one-, two- and three-touch techniques",2007,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
FeelSound: interactive acoustic music making,2009,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Children designing together on a multi-touch tabletop: an analysis of spatial orientation and user interactions,2009,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Direct-touch vs. mouse input for tabletop displays,2007,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
"RealTimeChess: lessons from a participatory design process for a collaborative multi-touch, multi-user game",2011,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Understanding designer brainstorms: the effect of analog and digital interfaces on dominance,2012,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Around the table: are multiple-touch surfaces better than single-touch for children's collaborative interactions?,2009,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Fighting for control: children's embodied interactions when using physical and digital representations,2009,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Exploring the effects of group size and table size on interactions with tabletop shared-display groupware,2004,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Individual audio channels with single display groupware: effects on communication and task strategy,2004,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Tabletop displays for small group study: affordances of paper and digital materials,2009,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Collaborative Puzzle Game: a tabletop interactive game for fostering collaboration in children with Autism Spectrum Disorders (ASD),2009,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
A co-located interface for narration to support reconciliation in a conflict: initial results from Jewish and Palestinian youth,2008,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
TeamTag: exploring centralized versus replicated controls for co-located tabletop groupware,2006,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
CoR2Ds,2005,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Beyond one-size-fits-all: how interactive tabletops support collaborative learning,2011,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Multimodal multiplayer tabletop gaming,2007,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Cooperative gestures: multi-user gestural interactions for co-located groupware,2006,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Supporting medical conversations between deaf and hearing individuals with tabletop displays,2008,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Personal digital historian: story sharing around the table,2003,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
SIDES: a cooperative tabletop computer game for social skills development,2006,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Collaborative Puzzle Game: Fostering collaboration in children with autistic spectrum disorder (ASD) and with typical development,2009,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Multi-user interface and interactions on direct-touch horizontal surfaces: collaborative tabletop research at MERL,2006,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
When the fingers do the talking: A study of group participation with varying constraints to a tabletop interface,2008,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Multi-view is useful for more accurate understanding of object in a virtual soccer field,2013,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
"MultiSpace: enabling electronic document micro-mobility in table-centric, multi-device environments",2006,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Collaborative searching for video using the Fischlar system and a DiamondTouch table,2006,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Supporting Effective Interaction with Tabletop Groupware,2006,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Mediating Group Dynamics through Tabletop Interface Design,2006,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Experiences with and observations of direct-touch tabletops,2006,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Experimental Findings on Collaborative Interactions in a Co-Located Environment,2005,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Travel Agency Desk Support System Using Interest Degree,2015,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Multimodal Split View Tabletop Interaction Over Existing Applications,2007,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
TeamSearch: comparing techniques for co-present collaborative search of digital media,2006,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Improving disaster response with multi-touch technologies,2007,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Usability of technology supported social competence training for children on the Autism Spectrum,2011,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Soccer tactics analysis supporting system displaying the player's actions in virtual space,2014,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
How do interactive tabletop systems influence collaboration?,2012,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Search on surfaces: Exploring the potential of interactive tabletops for collaborative search tasks,2010,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Dynamic tabletop interfaces for increasing creativity,2012,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Actions speak loudly with words: Unpacking collaboration around the table,2009,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Music browsing using a tabletop display,2007,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
UbiTable: Impromptu face-to-face collaboration on horizontal interactive surfaces,2003,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Fluid DTMouse: Better mouse support for touch-based interactions,2006,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
DiamondSpin: An extensible toolkit for around-the-table interaction,2004,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
NoProblem! A Collaborative Interface for Teaching Conversation Skills to Children with High Functioning Autism Spectrum Disorder,2014,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Trains of thought on the tabletop: visualizing association of ideas improves creativity,2013,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Three around a Table: The Facilitator Role in a Co-located Interface for Social Competence Training of Children with Autism Spectrum Disorder,2011,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
The design of a collaborative interface for narration to support reconciliation in a conflict,2009,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Analyzing Multimodal Communication around a Shared Tabletop Display,2009,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Is the Writing on the Wall for Tabletops?,2009,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Toward understanding the importance of gesture in distributed scientific collaboration,2007,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Computer-Supported Creativity: Evaluation of a Tabletop Mind-Map Application,2007,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Collaborative video searching on a tabletop,2007,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Under My Finger: Human Factors in Pushing and Rotating Documents Across the Table,2005,Projetor superior,Toque,"Multi-touch, Touch",Colaboração presencial,DiamondTouch,42”
Pen and touch gestural environment for document editing on interactive tabletops,2013,Projetor superior,"Caneta, Toque","Gesture, Multi-touch, Tangibility, Touch",Usuário único,DiamondTouch + Anoto Pen,42”
Combining and measuring the benefits of bimanual pen and direct-touch interaction on horizontal interfaces,2008,Projetor superior,"Caneta, Toque","Gesture, Multi-touch, Tangibility, Touch",Usuário único,DiamondTouch + Anoto Pen,42”
Supporting active reading on pen and touch-operated tabletops,2012,Projetor superior,"Caneta, Toque","Gesture, Multi-touch, Tangibility, Touch",Usuário único,DiamondTouch + Anoto Pen,42”
GSI demo: multiuser gesture/speech interaction over digital tables by wrapping single user applications,2006,Projetor superior,"Caneta, Ondas sonoras, Toque","Gesture, Multi-touch, Speech, Tangibility, Touch",Colaboração presencial,DiamondTouch + Gesture + Speech,42”
Balancing Skills to Optimize Fun in Interactive Board Games,2009,Embutido,Tokens tangíveis,Tangibility,Colaboração presencial,Edutainment Sensor Platform (ESP),
The EventTable technique: distributed fiducial markers,2009,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,EventTable,
Exploring How Tangible Tools Enable Collaboration in a Multi-touch Tabletop Game,2011,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,EventTable + Multi-touch,
Balancing Act: Enabling Public Engagement with Sustainability Issues through a Multi-touch Tabletop Collaborative Game,2011,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,EventTable + Multi-touch,
An asymmetric collaborative system for architectural-scale space design,2018,Embutido,Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,Flatfrog Multitouch 3200,"32"""
RoboJockey: Designing an Entertainment Experience with Robots,2015,Embutido,Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,FlexScan T2351W by EIZO,23”
Xylocode: A Novel Approach to Fostering Interest in Computer Science via an Embodied Music Simulation,2024,Embutido,"Tokens tangíveis, Toque","Multi-touch, Tangibility, Touch",Colaboração presencial,Ideum (Model Ommited),
Fostering AI Literacy with Embodiment  Creativity: From Activity Boxes to Museum Exhibits,2023,Embutido,"Tokens tangíveis, Toque","Multi-touch, Tangibility, Touch",Colaboração presencial,Ideum (Model Ommited),
Gestures by Children and Adults on Touch Tables and Touch Walls in a Public Science Center,2016,Projetor inferior,Toque,"Multi-touch, Touch",Colaboração presencial,ideum 55 pro,"55"""
"Dollhouse VR: A multi-view, multi-user collaborative design workspace with VR technology",2015,Embutido,Toque,"Multi-touch, Touch",Colaboração presencial,Iiyama ProLite T2735MSC,"27"""
Immertable: a configurable and customizable tangible tabletop for audiovisual and musical control,2017,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Usuário único,Immertable,
ImmertableApp: Interactive and Tangible Learning Music Environment,2016,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Tangibility, Touch",Usuário único,Immertable,
Low-fidelity prototyping with simple collaborative tabletop computer-aided design systems,2018,Projetor superior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Tangibility, Touch",Colaboração presencial,InitialInsights,
"Lessons learned from the WILD room, a multisurface interactive environment",2011,Embutido,Sensor infravermelho,"Multi-touch, Touch",Colaboração presencial,IntuiFace multitouch,45”
"RoboJockey: real-time, simultaneous, and continuous creation of robot actions for everyone",2010,Embutido,"Caneta, Toque","Multi-touch, Touch",Colaboração presencial,LCD-AD221FB-T by IO Data,"21.5"""
Feedback and Guidance to Support Children with Intellectual Disabilities in Discovery Learning with a Tangible Interactive Tabletop,2018,Projetor inferior,"Sensor infravermelho, Tokens tangíveis",Tangibility,Colaboração presencial,LightTable,
Interview approaches to researching embodiment,2013,Projetor inferior,"Sensor infravermelho, Tokens tangíveis",Tangibility,Colaboração presencial,LightTable,
Interactive audio-tactile maps for visually impaired people,2015,Embutido,Toque,"Multi-touch, Touch",Colaboração presencial,M2256PW,
Learning basic concept of computer programming with path-finding task in ar and its properties,2022,Headset,"Sensor infravermelho, Visão computacional",Gesture,Usuário único,Microsoft HoloLens,
A Glasses-Based Holographic Tabletop for Collaborative Monitoring of Aerial Missions,2020,Headset,"Sensor infravermelho, Visão computacional",Gesture,Usuário único,Microsoft HoloLens,
Envisioning the Emergency Operations Centre of the Future,2016,Embutido,Toque,"Multi-touch, Touch",Colaboração presencial,Microsoft Perceptive Pixel,"55"""
Investigating Paradigms of Group Territory in Multiple Display Environments,2020,Embutido,Toque,"Multi-touch, Touch",Colaboração presencial,Microsoft Perceptive Pixel,"55"""
The Influence of Multi-Touch Interaction on Procedural Training,2015,Embutido,Toque,"Multi-touch, Touch",Colaboração presencial,Microsoft Perceptive Pixel,"55"""
Re-collision: a collision reconstruction forensics tabletop interface,2012,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
G-nome surfer: a tabletop interface for collaborative exploration of genomic data,2010,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
Exploring How a Co-dependent Tangible Tool Design Supports Collaboration in a Tabletop Activity,2014,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
LaserFoot: 6-DOF Tracking method over an Optical Touchscreen,2016,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
It's just a toolbar! using tangibles to help children manage conflict around a multi-touch tabletop,2011,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
Enhancing genomic learning through tabletop interaction,2011,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
Phylo-Genie: engaging students in collaborative 'tree-thinking' through tabletop techniques,2012,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
"Touch, click, navigate: comparing tabletop and desktop interaction for map navigation tasks",2012,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
Harnessing the benefits of bimanual and multi-finger input for supporting grouping tasks on interactive tabletops,2012,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
Touching the depths: introducing tabletop interaction to reservoir engineering,2010,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
EGrid: supporting the control room operation of a utility company with multi-touch tables,2009,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
Design and evaluation techniques for authoring interactive and stylistic behaviors,2014,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
"Gestures as a ""creation"" mechanism for tabletop interfaces",2010,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
Raptor: sketching games with a tabletop computer,2010,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
Semantic Approach to Analyze Creativity Corpus,2017,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
Co-Located Collaborative Visual Analytics around a Tabletop Display,2012,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
"The design, development, and deployment of a tabletop interface for collaborative exploration of genomic data",2012,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
"The conceptual framing, design and evaluation of device ecologies for collaborative activities",2012,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
Exploring and modeling unimanual object manipulation on multi-touch displays,2015,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
Tisch digital tools supporting board games,2012,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
Rethinking 'Multi-user': An in-the-wild study of how groups approach a walk-up-and-use tabletop interface,2011,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
An exploratory study of co-located collaborative visual analytics around a tabletop display,2010,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
Sketched menu: A tabletop-menu technique for GUI object creation,2010,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
Interactions around a Multi-touch Tabletop: A Rapid Ethnographic Study in a Museum,2014,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
Collaborative Practices that Support Creativity in Design,2009,Projetor inferior,"Sensor infravermelho, Visão computacional","Multi-touch, Touch",Colaboração presencial,Microsoft Surface,30”
Exploring the design space of gestural interaction with active tokens through user-defined gestures,2014,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,Microsoft Surface + Sifteo Cubes,30”
Exploring tabletops as an effective tool to foster creativity traits,2012,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,Microsoft Surface + Tangibles,30”
TabletopCars: interaction with active tangible remote controlled cars,2013,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,Microsoft Surface + Tangibles,30”
What caused that touch? expressive interaction with a surface through fiduciary-tagged gloves,2010,Projetor inferior,"Sensor infravermelho, Visão computacional, Wearables","Multi-touch, Touch",Colaboração presencial,Microsoft Surface + Wearables,30”
Tangible Awareness: How Tangibles on Tabletops Influence Awareness of Each Other's Actions,2018,Embutido,Toque,"Multi-touch, Touch",Colaboração presencial,"Microsoft’s Surface Hub 84""",84”
File System Access for Tabletop Interaction,2010,Projetor superior,Caneta,Tangibility,Colaboração presencial,Mimio Whiteboard,
Hands-on Maps — a Multi-touch Map Application in a Public Space,2013,Embutido,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,MultiTaction Cell Advanced (MT467),46”
Tangible Tensors: An Interactive System for Grasping Trends in Biological Systems Modeling,2019,Embutido,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,MultiTaction Cell Ultra-Thin Bezel (MT553UTB),"55"""
Tangible mtDNA: A Tangible Tabletop System for Exploring Genetic Mutations on Mitochondrial DNA Cancer Data,2017,Embutido,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,MultiTaction Cell Ultra-Thin Bezel (MT553UTB),"55"""
"Combining Mobile, Tangible and Virtual World Platforms to Support Participatory Campus Planning",2016,Embutido,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,MultiTaction Cell Ultra-Thin Bezel (MT553UTB),"55"""
Tangible BioNets: Multi-Surface and Tangible Interactions for Exploring Structural Features of Biological Networks,2019,Embutido,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,MultiTaction Cell Ultra-Thin Bezel (MT553UTB) x3,90”
Tangible Chromatin: Tangible and Multi-surface Interactions for Exploring Datasets from High-Content Microscopy Experiments,2022,Embutido,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,MultiTaction Cell Ultra-Thin Bezel (MT553UTB) x3,90”
Understanding Collaborative Decision Making Around a Large-Scale Interactive Tabletop,2017,Embutido,"Caneta, Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,MultiTaction Cell Ultra-Thin Bezel (MT553UTB) x4,120”
BotMap: Non-Visual Panning and Zooming with an Actuated Tabletop Tangible Interface,2018,Embutido,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,MultiTaction MT420S,42”
Exploring Genetic Mutations on Mitochondrial DNA Cancer Data with Interactive Tabletop and Active Tangibles,2016,Embutido,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,MultiTaction MT550,"55"""
Pointing gestures accelerate collaborative problem-solving on tangible user interfaces,2024,Embutido,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,MultiTaction MT550,"55"""
Design and evaluation of graphical feedback on tangible interactions in a low-resolution edge display,2019,Embutido,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,MultiTaction MT550,"55"""
Reducing the Cognitive Load of Playing a Digital Tabletop Game with a Multimodal Interface,2022,Embutido,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Speech, Tangibility, Touch",Colaboração presencial,MultiTaction MT550 + Speech,"55"""
Tangible and Wearable User Interfaces for Supporting Collaboration among Emergency Workers,2012,Embutido,"Sensor infravermelho, Tokens tangíveis, Visão computacional, Wearables","Multi-touch, Tangibility, Touch",Colaboração presencial,MultiTaction MT550 + Wearable,"55"""
"BIM4VET, Towards BIM Training Recommendation for AEC Professionals",2019,Embutido,"Sensor infravermelho, Tokens tangíveis, Visão computacional","Multi-touch, Tangibility, Touch",Colaboração presencial,MultiTaction MT555UTB,"55"""
The Space Journey Game: An Intergenerational Pervasive Experience,2019,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,NIKVision,
"Working Attention, Planning and Social Skills Through Pervasive Games in Interactive Spaces",2022,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,NIKVision,
Guidelines to design tangible tabletop activities for children with attention deficit hyperactivity disorder,2019,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,NIKVision,
How do preschoolers interact with peers? Characterising child and group behaviour in games with tangible interfaces in school,2022,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,NIKVision,
Let the experts talk: An experience of tangible game design with children,2010,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,NIKVision,
KitVision toolkit: supporting the creation of cognitive activities for tangible tabletop devices,2020,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,NIKVision,
Toward emotional interactive videogames for children with autism spectrum disorder,2021,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,NIKVision,
Development of a Pervasive Game for ADHD Children,2019,Projetor inferior,"Sensor infravermelho, Tokens tangíveis, Visão computacional",Tangibility,Colaboração presencial,NIKVision,
OverTop: Breaking the Boundaries of Tangible Tabletop Environments,2018,"Embutido, Headset, Projetor superior",Visão computacional,Gesture,Usuário único,OverTop,
OrMiS: a tabletop interface for simulation-based training,2013,Embutido,Toque,"Multi-touch, Touch",Colaboração presencial,PQ Labs G4S 55”,
Digital mysteries: designing for learning at the tabletop,2009,Projetor superior,Caneta,Tangibility,Colaboração presencial,Promethean Activboard,
